x_p,delta_V
0.2930078821,-0.0164825158
0.2931044320,-0.0164413538
0.2932009819,-0.0163996846
0.2932975319,-0.0163574532
0.2933940818,-0.0163146046
0.2934906318,-0.0162710839
0.2935871818,-0.0162268361
0.2936837318,-0.0161818061
0.2937802818,-0.0161359390
0.2938768318,-0.0160891798
0.2939733818,-0.0160414735
0.2940699319,-0.0159927651
0.2941664819,-0.0159429997
0.2942630320,-0.0158921222
0.2943595821,-0.0158400776
0.2944561322,-0.0157868110
0.2945526823,-0.0157322674
0.2946492324,-0.0156763918
0.2947457825,-0.0156191292
0.2948423327,-0.0155604245
0.2949388828,-0.0155002230
0.2950354330,-0.0154384694
0.2951319832,-0.0153751089
0.2952285333,-0.0153100865
0.2953250835,-0.0152433471
0.2954216338,-0.0151748358
0.2955181840,-0.0151044976
0.2956147342,-0.0150322775
0.2957112845,-0.0149581205
0.2958078347,-0.0148819717
0.2959043850,-0.0148037760
0.2960009353,-0.0147247234
0.2960974856,-0.0146460411
0.2961940359,-0.0145676748
0.2962905862,-0.0144896471
0.2963871365,-0.0144119842
0.2964836869,-0.0143346867
0.2965802372,-0.0142577549
0.2966767876,-0.0141811893
0.2967733379,-0.0141049904
0.2968698883,-0.0140291587
0.2969664387,-0.0139536945
0.2970629891,-0.0138785985
0.2971595396,-0.0138038710
0.2972560900,-0.0137295125
0.2973526404,-0.0136555235
0.2974491909,-0.0135819044
0.2975457414,-0.0135086557
0.2976422919,-0.0134357779
0.2977388423,-0.0133632714
0.2978353929,-0.0132911367
0.2979319434,-0.0132193743
0.2980284939,-0.0131479846
0.2981250444,-0.0130769680
0.2982215950,-0.0130063252
0.2983181456,-0.0129360564
0.2984146961,-0.0128661622
0.2985112467,-0.0127966431
0.2986077973,-0.0127274995
0.2987043479,-0.0126587318
0.2988008985,-0.0125903406
0.2988974492,-0.0125223263
0.2989939998,-0.0124546894
0.2990905505,-0.0123874302
0.2991871012,-0.0123205494
0.2992836518,-0.0122540474
0.2993802025,-0.0121879097
0.2994767532,-0.0121220171
0.2995733039,-0.0120564918
0.2996698547,-0.0119913339
0.2997664054,-0.0119265435
0.2998629561,-0.0118621207
0.2999595069,-0.0117980657
0.3000560577,-0.0117343785
0.3001526085,-0.0116710592
0.3002491592,-0.0116081080
0.3003457100,-0.0115455249
0.3004422609,-0.0114833101
0.3005388117,-0.0114214636
0.3006353625,-0.0113599857
0.3007319134,-0.0112988763
0.3008284642,-0.0112381355
0.3009250151,-0.0111777636
0.3010215660,-0.0111177606
0.3011181169,-0.0110581266
0.3012146678,-0.0109988617
0.3013112187,-0.0109399660
0.3014077696,-0.0108814396
0.3015043206,-0.0108232826
0.3016008715,-0.0107654952
0.3016974225,-0.0107080775
0.3017939734,-0.0106510294
0.3018905244,-0.0105943513
0.3019870754,-0.0105380431
0.3020836264,-0.0104821050
0.3021801774,-0.0104265370
0.3022767285,-0.0103713393
0.3023732795,-0.0103165120
0.3024698306,-0.0102620552
0.3025663816,-0.0102079690
0.3026629327,-0.0101541570
0.3027594838,-0.0101006202
0.3028560349,-0.0100474379
0.3029525860,-0.0099946098
0.3030491371,-0.0099421355
0.3031456882,-0.0098900145
0.3032422393,-0.0098382467
0.3033387905,-0.0097868315
0.3034353416,-0.0097357687
0.3035318928,-0.0096850579
0.3036284440,-0.0096346987
0.3037249951,-0.0095846908
0.3038215463,-0.0095350337
0.3039180975,-0.0094857272
0.3040146488,-0.0094367709
0.3041112000,-0.0093881644
0.3042077512,-0.0093399073
0.3043043025,-0.0092919994
0.3044008537,-0.0092444401
0.3044974050,-0.0091972293
0.3045939563,-0.0091503664
0.3046905076,-0.0091038513
0.3047870589,-0.0090576833
0.3048836102,-0.0090118624
0.3049801615,-0.0089663880
0.3050767128,-0.0089212598
0.3051732642,-0.0088764774
0.3052698155,-0.0088320405
0.3053663669,-0.0087879488
0.3054629182,-0.0087442018
0.3055594696,-0.0087007992
0.3056560210,-0.0086577406
0.3057525724,-0.0086150258
0.3058491238,-0.0085726542
0.3059456752,-0.0085305263
0.3060422267,-0.0084887291
0.3061387781,-0.0084472649
0.3062353295,-0.0084061329
0.3063318810,-0.0083653327
0.3064284325,-0.0083248636
0.3065249839,-0.0082847249
0.3066215354,-0.0082449161
0.3067180869,-0.0082054366
0.3068146384,-0.0081662856
0.3069111899,-0.0081274626
0.3070077415,-0.0080889670
0.3071042930,-0.0080507981
0.3072008445,-0.0080129553
0.3072973961,-0.0079754380
0.3073939476,-0.0079382456
0.3074904992,-0.0079013774
0.3075870508,-0.0078648328
0.3076836024,-0.0078286113
0.3077801540,-0.0077927121
0.3078767056,-0.0077571347
0.3079732572,-0.0077218785
0.3080698088,-0.0076869427
0.3081663605,-0.0076523269
0.3082629121,-0.0076180303
0.3083594637,-0.0075840524
0.3084560154,-0.0075503925
0.3085525671,-0.0075170500
0.3086491188,-0.0074840243
0.3087456704,-0.0074513147
0.3088422221,-0.0074189207
0.3089387738,-0.0073868416
0.3090353256,-0.0073550768
0.3091318773,-0.0073235562
0.3092284290,-0.0072922350
0.3093249807,-0.0072612104
0.3094215325,-0.0072304815
0.3095180842,-0.0072000470
0.3096146360,-0.0071699060
0.3097111878,-0.0071400574
0.3098077396,-0.0071105001
0.3099042913,-0.0070812330
0.3100008431,-0.0070522551
0.3100973949,-0.0070235652
0.3101939467,-0.0069951624
0.3102904986,-0.0069670455
0.3103870504,-0.0069392135
0.3104836022,-0.0069116653
0.3105801541,-0.0068843997
0.3106767059,-0.0068574159
0.3107732578,-0.0068307126
0.3108698097,-0.0068042888
0.3109663615,-0.0067781434
0.3110629134,-0.0067522754
0.3111594653,-0.0067266837
0.3112560172,-0.0067013672
0.3113525691,-0.0066763248
0.3114491210,-0.0066515555
0.3115456729,-0.0066270582
0.3116422249,-0.0066028318
0.3117387768,-0.0065788753
0.3118353288,-0.0065551875
